PLAN_ID,PLAN_NAME,MER,DISC,PACKAGE,LEN,ROLLUP1,ASP,STARTDATE,ENDDATE
339,Select - 1mo - wActv|Promo $5 off for 6mos,10.99,Discount,Select,Semi Annual,Select Discount Monthly ($5 Off for 6mos),N,01/06/19 00:00,12/12/99 00:00
340,Basic Plus - Special Pricing - 12mo,8.49,Full Price,Basic,Annual,Basic Annual,Y,05/01/15 00:00,30/06/15 00:00
341,Promo - Select - 3mo w/2mo Free (3FOR1) - 1X,5.0,Discount,Select,Quarterly,3 for 1,N,05/01/15 00:00,30/06/15 00:00
342,Select - 1moSelfPay,14.99,Full Price,Select,Monthly,Select Monthly,N,05/01/15 00:00,30/06/15 00:00
343,Select Lite - 1mo|Promo $11 Off for 6mos,4.99,Discount,Select Lite,Monthly,Select Lite Discount Monthly ($11 Off for 6mos),N,01/06/19 00:00,12/12/99 00:00
344,Promo - Select - 6mo - 29.94 - (4.99FOR6),4.99,Discount,Select,Semi Annual,6 for 30,N,01/01/14 00:00,12/12/99 00:00
345,Promo - Select - 12mo - 99.00 - WBFB,8.25,Discount,Select,Annual,1 yr/$99,Y,01/06/16 00:00,12/12/99 00:00
346,All Access - 1mo - wETF (6mo50) - AMZ|Promo $11 off for 12mos AA - AMZ DOT-G3,9.99,Discount,All Access,Monthly,All Access - 1mo - wETF (6mo50) - AMZ|Promo $11 off for 12mos AA - AMZ DOT-G3,N,01/10/19 00:00,12/12/99 00:00
347,Sponsored - OEM Trial - Select - 3mo - 9.95 - (Used Car),0.0,Full Price,Select,Quarterly,Select Quarterly,N,05/01/15 00:00,30/06/15 00:00
348,Sponsored - OEM Trial - All Access - 12mo - 135.54,0.0,Full Price,All Access,Annual,Select Annual,Y,05/01/15 00:00,30/06/15 00:00
349,Voyager + All Access Family Friendly - 6mo - wActv,19.990000000000002,Full Price,All Access,Semi Annual,All Access Semi,N,01/11/17 00:00,30/11/17 00:00
350,Promo - All Access Upgrade for Select Price - 3mo,14.99,Discount,All Access,Quarterly,All Access Discount Quarterly,N,01/11/17 00:00,12/12/99 00:00
351,Select Family Friendly - 24mo w/3mo Free - wActv,13.99,Full Price,Select,Two Year,Select 2 Year,Y,05/01/15 00:00,30/06/15 00:00
352,Select - Life - 0.00,14.99,Full Price,Select,Three Year,Select 3 Year,Y,01/01/17 00:00,12/12/99 00:00
353,Select - 6moSelfPay,14.99,Full Price,Select,Semi Annual,Select Semi,N,05/01/15 00:00,30/06/15 00:00
354,Long Term Plan - All Access - 3 yrs (WBOVCORP),4.14,Discount,All Access,Three Year,All Access Discount 3 Year,Y,01/12/17 00:00,12/12/99 00:00
355,Courtesy - All Access Family Friendly - 24mo - 1X,19.990000000000002,Full Price,All Access,Two Year,All Access Annual,Y,01/01/14 00:00,30/11/17 00:00
356,Promo - Select - 5mo - 19.99SelfPay,3.998,Discount,Select,5 Months,5 for 20,N,05/01/15 00:00,30/06/15 00:00
357,Marine Fish Mapping - 1mo - wActv,0.0,Data,Data,Monthly,Data,N,01/04/18 00:00,12/12/99 00:00
358,Promo - All Access - Annual - (20% off for 12 mos),16.792,Discount,All Access,Annual,All Access Discount Annual,Y,01/07/18 00:00,12/12/99 00:00
359,Select - 1mo - wActv|Promo $7.99/mo Select for 12mos,7.99,Discount,Select,Monthly,Select - 1mo - wActv|Promo $7.99/mo Select for 12mos,N,01/11/19 00:00,12/12/99 00:00
360,Courtesy - All Access - 36mo - 1X,17.990000000000002,Full Price,All Access,Three Year,All Access 3 Year,Y,05/01/15 00:00,30/06/15 00:00
361,Promo - Select - 6mo - 36.00 - (+$1.00 per month),6.0,Discount,Select,Semi Annual,Select Discount Semi,N,01/12/17 00:00,12/12/99 00:00
362,Lifetime Subscriber - 399.99,6.66,TBD,TBD,TBD,Other,TBD,05/01/15 00:00,30/06/15 00:00
363,12 Month Service - 12 Month Term Billed Annually,6.66,TBD,TBD,TBD,Other,TBD,05/01/15 00:00,30/06/15 00:00
364,Promo - Select Plus SXIR - 12mo - 99.00 - (OAC) - 1X,8.25,Discount,Select,Annual,All Access Discount Annual $99,Y,01/11/17 00:00,12/12/99 00:00
365,Promo - Select Lite - 6mo - 29.94 - (4.99FOR6) - (OAC),4.99,Discount,Select Lite,Semi Annual,Promo - Select Lite - 6mo - 29.94 - (4.99FOR6) - (OAC),N,01/10/19 00:00,12/12/99 00:00
366,All Access - 24mo w/3mo Free - wActv,18.990000000000002,Full Price,All Access,Two Year,All Access 2 Year,Y,05/01/15 00:00,30/06/15 00:00
367,News-Sports-Talk - 6mo - wActv,10.99,Full Price,Other,Semi Annual,Other,TBD,05/01/15 00:00,30/06/15 00:00
368,Promo - Marine Coastal - 2mo - (Half-off) - 1X,14.99,Discount,Other,Monthly,Other,N,01/01/17 00:00,12/12/99 00:00
369,Promo - All Access - 2mo - 2.00 - (Discovery) - 1X,5.0,Discount,All Access,Monthly,Discount Trial Extension,N,01/11/16 00:00,30/07/19 00:00
370,Promo - Voyager + Select - 6mo - (Half-off) - 1X,14.99,Discount,Select,Semi Annual,Select Discount Semi,N,01/07/17 00:00,12/12/99 00:00
371,Promo - Select - 6mo - 29.94 - (4.99FOR6) - (OAC),5.0,Discount,Select,Semi Annual,6 for 30,N,01/01/14 00:00,12/12/99 00:00
828,Promo - Select - 24mo w/4mo Free - No MRD (Legacy Pricing),12.49166667,Discount,Select,Two Year,Select 2 Year,Y,01/01/14 00:00,04/01/15 00:00
829,All Access - 36mo w/5mo Free - wActv,18.990000000000002,Full Price,All Access,Three Year,All Access 3 Year,Y,01/01/14 00:00,04/01/15 00:00
830,Traffic - 6mo - wActv,6.66,TBD,TBD,TBD,Other,TBD,01/01/14 00:00,04/01/15 00:00
831,Mostly Music - 3moSelfPay,9.99,Full Price,Mostly Music,Quarterly,Mostly Music Quarterly,N,05/01/15 00:00,30/06/15 00:00
832,Select - 1mo - TaxEx - (NO MRF) - 12.00,14.99,Full Price,Select,Monthly,Select Monthly,TBD,01/01/14 00:00,04/01/15 00:00
833,Premier - 12mo w/1mo Free - wActv,6.66,TBD,TBD,TBD,Other,TBD,01/01/14 00:00,04/01/15 00:00
834,Promo - NavTraffic - 5mo - 10.00 (5FOR10),6.66,TBD,TBD,TBD,Other,TBD,01/01/14 00:00,04/01/15 00:00
835,Fleet - All Access - 12mo - wActv - 173.88,20.990000000000002,Full Price,All Access,Annual,All Access Annual,Y,01/12/17 00:00,12/12/99 00:00
836,Mostly Music Monthly 2,10.99,Full Price,Mostly Music,Monthly,Mostly Music Monthly,N,01/01/14 00:00,04/01/15 00:00
837,Promo - Select - 1mo - 0.99,0.99,Discount,Select,Monthly,1 Month/$.99,N,01/01/14 00:00,04/01/15 00:00
838,Select Family Friendly - 12mo w/1mo Free,13.99,Full Price,Select,Annual,Select Annual,Y,05/01/15 00:00,30/06/15 00:00
